date,is_home,opponent,gf,ga,result,home_team,away_team,home_score,away_score,year
1947-01-26,False,Portugal,1,4,L,Portugal,Spain,4,1,1947
1947-03-02,False,Republic of Ireland,2,3,L,Republic of Ireland,Spain,3,2,1947
1947-10-19,False,Catalonia,1,3,L,Catalonia,Spain,3,1,1947
1948-03-21,True,Portugal,2,0,W,Spain,Portugal,2,0,1948
1948-05-30,True,Republic of Ireland,2,1,W,Spain,Republic of Ireland,2,1,1948
1948-06-20,False,Switzerland,3,3,D,Switzerland,Spain,3,3,1948
1949-01-02,True,Belgium,1,1,D,Spain,Belgium,1,1,1949
1949-03-20,False,Portugal,1,1,D,Portugal,Spain,1,1,1949
1949-03-27,True,Italy,1,3,L,Spain,Italy,1,3,1949
1949-06-12,False,Republic of Ireland,4,1,W,Republic of Ireland,Spain,1,4,1949
1949-06-19,False,France,5,1,W,France,Spain,1,5,1949
1950-04-02,True,Portugal,5,1,W,Spain,Portugal,5,1,1950
1950-04-09,False,Portugal,2,2,D,Portugal,Spain,2,2,1950
1950-06-25,True,United States,3,1,W,Spain,United States,3,1,1950
1950-06-29,False,Chile,2,0,W,Chile,Spain,0,2,1950
1950-07-02,False,England,1,0,W,England,Spain,0,1,1950
1950-07-09,True,Uruguay,2,2,D,Spain,Uruguay,2,2,1950
1950-07-13,False,Brazil,1,6,L,Brazil,Spain,6,1,1950
1950-07-16,True,Sweden,1,3,L,Spain,Sweden,1,3,1950
1951-02-18,True,Switzerland,6,3,W,Spain,Switzerland,6,3,1951
1951-06-10,False,Belgium,3,3,D,Belgium,Spain,3,3,1951
1951-06-17,False,Sweden,0,0,D,Sweden,Spain,0,0,1951
1952-06-01,True,Republic of Ireland,6,0,W,Spain,Republic of Ireland,6,0,1952
1952-06-08,False,Turkey,0,0,D,Turkey,Spain,0,0,1952
1952-12-07,True,Argentina,0,1,L,Spain,Argentina,0,1,1952
1952-12-28,True,Germany,2,2,D,Spain,Germany,2,2,1952
1953-03-19,True,Belgium,3,1,W,Spain,Belgium,3,1,1953
1953-07-05,False,Argentina,0,1,L,Argentina,Spain,1,0,1953
1953-07-12,False,Chile,2,1,W,Chile,Spain,1,2,1953
1953-08-09,False,Catalonia,6,0,W,Catalonia,Spain,0,6,1953
1953-11-08,True,Sweden,2,2,D,Spain,Sweden,2,2,1953
1954-01-06,True,Turkey,4,1,W,Spain,Turkey,4,1,1954
1954-03-14,False,Turkey,0,1,L,Turkey,Spain,1,0,1954
1954-03-17,False,Turkey,2,2,D,Turkey,Spain,2,2,1954
1955-03-17,True,France,1,2,L,Spain,France,1,2,1955
1955-05-18,True,England,1,1,D,Spain,England,1,1,1955
1955-06-19,False,Switzerland,3,0,W,Switzerland,Spain,0,3,1955
1955-11-27,False,Republic of Ireland,2,2,D,Republic of Ireland,Spain,2,2,1955
1955-11-30,False,England,1,4,L,England,Spain,4,1,1955
1956-06-03,False,Portugal,1,3,L,Portugal,Spain,3,1,1956
1957-01-30,True,Netherlands,5,1,W,Spain,Netherlands,5,1,1957
1957-03-10,True,Switzerland,2,2,D,Spain,Switzerland,2,2,1957
1957-03-31,False,Belgium,5,0,W,Belgium,Spain,0,5,1957
1957-05-08,False,Scotland,2,4,L,Scotland,Spain,4,2,1957
1957-05-26,True,Scotland,4,1,W,Spain,Scotland,4,1,1957
1957-11-24,False,Switzerland,4,1,W,Switzerland,Spain,1,4,1957
1958-03-13,False,France,2,2,D,France,Spain,2,2,1958
1958-03-19,False,Germany,0,2,L,Germany,Spain,2,0,1958
1958-04-13,True,Portugal,1,0,W,Spain,Portugal,1,0,1958
1958-10-15,True,Northern Ireland,6,2,W,Spain,Northern Ireland,6,2,1958
1959-02-28,False,Italy,1,1,D,Italy,Spain,1,1,1959
1959-06-28,False,Poland,4,2,W,Poland,Spain,2,4,1959
1959-10-14,True,Poland,3,0,W,Spain,Poland,3,0,1959
1959-11-22,True,Austria,6,3,W,Spain,Austria,6,3,1959
1959-12-17,False,France,3,4,L,France,Spain,4,3,1959
1960-03-13,True,Italy,3,1,W,Spain,Italy,3,1,1960
1960-05-15,True,England,3,0,W,Spain,England,3,0,1960
1960-07-10,False,Peru,3,1,W,Peru,Spain,1,3,1960
1960-07-14,False,Chile,4,0,W,Chile,Spain,0,4,1960
1960-07-17,False,Chile,4,1,W,Chile,Spain,1,4,1960
1960-07-24,False,Argentina,0,2,L,Argentina,Spain,2,0,1960
1960-10-26,False,England,2,4,L,England,Spain,4,2,1960
1960-10-30,False,Austria,0,3,L,Austria,Spain,3,0,1960
1961-04-02,True,France,2,0,W,Spain,France,2,0,1961
1961-04-19,False,Wales,2,1,W,Wales,Spain,1,2,1961
1961-05-18,True,Wales,1,1,D,Spain,Wales,1,1,1961
1961-06-11,True,Argentina,2,0,W,Spain,Argentina,2,0,1961
1961-11-12,False,Morocco,1,0,W,Morocco,Spain,0,1,1961
1961-11-23,True,Morocco,3,2,W,Spain,Morocco,3,2,1961
1961-12-10,False,France,1,1,D,France,Spain,1,1,1961
1962-05-31,False,Czechoslovakia,0,1,L,Czechoslovakia,Spain,1,0,1962
1962-06-03,False,Mexico,1,0,W,Mexico,Spain,0,1,1962
1962-06-06,False,Brazil,1,2,L,Brazil,Spain,2,1,1962
1962-11-01,True,Romania,6,0,W,Spain,Romania,6,0,1962
1962-11-25,False,Romania,1,3,L,Romania,Spain,3,1,1962
1962-12-02,False,Belgium,1,1,D,Belgium,Spain,1,1,1962
1963-01-09,True,France,0,0,D,Spain,France,0,0,1963
1963-05-30,True,Northern Ireland,1,1,D,Spain,Northern Ireland,1,1,1963
1963-06-13,True,Scotland,2,6,L,Spain,Scotland,2,6,1963
1963-10-30,False,Northern Ireland,1,0,W,Northern Ireland,Spain,0,1,1963
1963-12-01,True,Belgium,1,2,L,Spain,Belgium,1,2,1963
1964-03-11,True,Republic of Ireland,5,1,W,Spain,Republic of Ireland,5,1,1964
1964-04-08,False,Republic of Ireland,2,0,W,Republic of Ireland,Spain,0,2,1964
1964-06-17,True,Hungary,2,1,W,Spain,Hungary,2,1,1964
1964-06-21,True,Russia,2,1,W,Spain,Russia,2,1,1964
1964-11-15,False,Portugal,1,2,L,Portugal,Spain,2,1,1964
1965-05-05,False,Republic of Ireland,0,1,L,Republic of Ireland,Spain,1,0,1965
1965-05-08,False,Scotland,0,0,D,Scotland,Spain,0,0,1965
1965-10-27,True,Republic of Ireland,4,1,W,Spain,Republic of Ireland,4,1,1965
